converter,rate,sgd_amount,utc_time
MASTERCARD,3.3338575,500,2025-06-28 07:16:59
WISE_FROM_BANK_TRANSFER,3.3486599999999997,500,2025-06-28 07:16:59
WISE_FROM_BALANCE,3.3445,500,2025-06-28 07:16:59
MASTERCARD,3.3338575,1000,2025-06-28 07:16:59
WISE_FROM_BANK_TRANSFER,3.3415,1000,2025-06-28 07:16:59
WISE_FROM_BALANCE,3.33942,1000,2025-06-28 07:16:59
MASTERCARD,3.3338575,1500,2025-06-28 07:16:59
WISE_FROM_BANK_TRANSFER,3.3391200000000003,1500,2025-06-28 07:16:59
WISE_FROM_BALANCE,3.3377333333333334,1500,2025-06-28 07:16:59
MASTERCARD,3.3338575,2000,2025-06-28 07:16:59
WISE_FROM_BANK_TRANSFER,3.3379250000000003,2000,2025-06-28 07:16:59
WISE_FROM_BALANCE,3.336885,2000,2025-06-28 07:16:59
MASTERCARD,3.3338575,3000,2025-06-28 07:16:59
WISE_FROM_BANK_TRANSFER,3.3367333333333336,3000,2025-06-28 07:16:59
WISE_FROM_BALANCE,3.33604,3000,2025-06-28 07:16:59
MASTERCARD,3.3338575,5000,2025-06-28 07:16:59
WISE_FROM_BANK_TRANSFER,3.33578,5000,2025-06-28 07:16:59
WISE_FROM_BALANCE,3.3353639999999998,5000,2025-06-28 07:16:59
MASTERCARD,3.3338575,500,2025-06-28 07:34:52
WISE_FROM_BANK_TRANSFER,3.3486599999999997,500,2025-06-28 07:34:52
WISE_FROM_BALANCE,3.3445,500,2025-06-28 07:34:52
MASTERCARD,3.3338575,1000,2025-06-28 07:34:52
WISE_FROM_BANK_TRANSFER,3.3415,1000,2025-06-28 07:34:52
WISE_FROM_BALANCE,3.33942,1000,2025-06-28 07:34:52
MASTERCARD,3.3338575,1500,2025-06-28 07:34:52
WISE_FROM_BANK_TRANSFER,3.3391200000000003,1500,2025-06-28 07:34:52
WISE_FROM_BALANCE,3.3377333333333334,1500,2025-06-28 07:34:52
MASTERCARD,3.3338575,2000,2025-06-28 07:34:52
WISE_FROM_BANK_TRANSFER,3.3379250000000003,2000,2025-06-28 07:34:52
WISE_FROM_BALANCE,3.336885,2000,2025-06-28 07:34:52
MASTERCARD,3.3338575,3000,2025-06-28 07:34:52
WISE_FROM_BANK_TRANSFER,3.3367333333333336,3000,2025-06-28 07:34:52
WISE_FROM_BALANCE,3.33604,3000,2025-06-28 07:34:52
MASTERCARD,3.3338575,5000,2025-06-28 07:34:52
WISE_FROM_BANK_TRANSFER,3.33578,5000,2025-06-28 07:34:52
WISE_FROM_BALANCE,3.3353639999999998,5000,2025-06-28 07:34:52
MASTERCARD,3.3338575,500,2025-06-28 08:12:59
WISE_FROM_BANK_TRANSFER,3.3486599999999997,500,2025-06-28 08:12:59
WISE_FROM_BALANCE,3.3445,500,2025-06-28 08:12:59
MASTERCARD,3.3338575,1000,2025-06-28 08:12:59
WISE_FROM_BANK_TRANSFER,3.3415,1000,2025-06-28 08:12:59
WISE_FROM_BALANCE,3.33942,1000,2025-06-28 08:12:59
MASTERCARD,3.3338575,1500,2025-06-28 08:12:59
WISE_FROM_BANK_TRANSFER,3.3391200000000003,1500,2025-06-28 08:12:59
WISE_FROM_BALANCE,3.3377333333333334,1500,2025-06-28 08:12:59
MASTERCARD,3.3338575,2000,2025-06-28 08:12:59
WISE_FROM_BANK_TRANSFER,3.3379250000000003,2000,2025-06-28 08:12:59
WISE_FROM_BALANCE,3.336885,2000,2025-06-28 08:12:59
MASTERCARD,3.3338575,3000,2025-06-28 08:12:59
WISE_FROM_BANK_TRANSFER,3.3367333333333336,3000,2025-06-28 08:12:59
WISE_FROM_BALANCE,3.33604,3000,2025-06-28 08:12:59
MASTERCARD,3.3338575,5000,2025-06-28 08:12:59
WISE_FROM_BANK_TRANSFER,3.33578,5000,2025-06-28 08:12:59
WISE_FROM_BALANCE,3.3353639999999998,5000,2025-06-28 08:12:59
